0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/banner6.jpg HTTP/1.1" 200 132147
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/banner3.jpg HTTP/1.1" 200 358890
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/ap.png HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/logo_chanel.png HTTP/1.1" 200 4004
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/ap1.png HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/logo_gucci.jpg HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/ap2.png HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/logo_redbull.jpg HTTP/1.1" 200 33826
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/ap3.png HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/logo_cocacola.jpg HTTP/1.1" 200 21711
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:07 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:07 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:07 +0700] "GET /DemoDisplaynew/ HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:07 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:21 +0700] "GET /DemoDisplaynew/contact.jsp HTTP/1.1" 200 10746
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:21 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:21 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:54:21 +0700] "GET /DemoDisplaynew/%3Ciframe%20src= HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:56:58 +0700] "GET /DemoDisplaynew/ HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:56:58 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:56:58 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:57:03 +0700] "GET /DemoDisplaynew/contact.jsp HTTP/1.1" 200 10623
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:57:03 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:57:03 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:57:03 +0700] "GET /DemoDisplaynew/%3Ciframe%20src= HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:03 +0700] "GET /DemoDisplaynew/ HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:03 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:03 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:06 +0700] "GET /DemoDisplaynew/contact.jsp HTTP/1.1" 200 10611
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:06 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:58:06 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
